assessment_id,learner_id,course_id,assessment_date,assessment_type,attempt_number,questions_attempted,questions_correct,score_percentage,retry_count
AS00001,L001,READ01,2025-10-13,Quiz,1,12,9,75.0,0
AS00002,L001,READ01,2026-01-09,Test,1,20,16,80.0,0
AS00003,L001,READ01,2026-03-24,Practice,2,20,15,75.0,1
AS00004,L001,READ01,2026-04-06,Test,1,19,15,78.9,0
AS00005,L001,READ01,2026-04-22,Quiz,2,19,15,78.9,1
AS00006,L001,READ01,2026-08-13,Practice,1,15,12,80.0,0
AS00007,L001,READ01,2026-08-22,Test,2,16,13,81.2,1
AS00008,L001,ELA02,2025-10-10,Test,2,16,13,81.2,1
AS00009,L001,ELA02,2025-10-27,Practice,1,11,8,72.7,0
AS00010,L001,ELA02,2025-11-03,Quiz,2,14,11,78.6,1
AS00011,L001,ELA02,2026-01-17,Practice,2,14,11,78.6,1
AS00012,L001,ELA02,2026-05-31,Quiz,1,13,10,76.9,0
AS00013,L001,ELA02,2026-06-08,Test,2,11,8,72.7,1
AS00014,L001,ELA02,2026-08-17,Practice,1,14,12,85.7,0
AS00015,L001,MATH03,2026-01-23,Quiz,1,14,11,78.6,0
AS00016,L001,MATH03,2026-02-26,Practice,1,12,10,83.3,0
AS00017,L001,MATH03,2026-05-29,Test,1,12,10,83.3,0
AS00018,L001,MATH03,2026-06-10,Test,1,20,17,85.0,0
AS00019,L001,MATH03,2026-06-20,Practice,1,18,15,83.3,0
AS00020,L001,MATH03,2026-08-25,Practice,1,17,15,88.2,0
AS00021,L002,SCI03,2025-11-04,Practice,1,16,13,81.2,0
AS00022,L002,SCI03,2025-11-13,Test,1,10,9,90.0,0
AS00023,L002,SCI03,2025-11-19,Quiz,1,15,14,93.3,0
AS00024,L002,SCI03,2026-05-21,Test,1,20,18,90.0,0
AS00025,L002,SCI03,2026-08-03,Practice,1,17,16,94.1,0
AS00026,L002,SCI03,2026-08-18,Practice,1,17,16,94.1,0
AS00027,L002,ELA04,2025-10-15,Test,2,20,19,95.0,1
AS00028,L002,ELA04,2025-10-17,Quiz,1,13,11,84.6,0
AS00029,L002,ELA04,2025-12-27,Test,2,19,18,94.7,1
AS00030,L002,ELA04,2026-02-04,Practice,1,14,13,92.9,0
AS00031,L002,ELA04,2026-02-04,Practice,1,10,8,80.0,0
AS00032,L002,ELA04,2026-02-08,Test,1,20,18,90.0,0
AS00033,L002,ELA04,2026-03-28,Test,1,12,11,91.7,0
AS00034,L002,ELA04,2026-05-25,Test,1,20,18,90.0,0
AS00035,L002,ELA04,2026-07-23,Test,1,11,9,81.8,0
AS00036,L002,READ01,2025-09-04,Quiz,1,18,15,83.3,0
AS00037,L002,READ01,2026-01-04,Quiz,1,19,17,89.5,0
AS00038,L002,READ01,2026-02-24,Test,1,20,18,90.0,0
AS00039,L002,READ01,2026-04-06,Practice,1,13,12,92.3,0
AS00040,L002,READ01,2026-06-01,Quiz,1,12,11,91.7,0
AS00041,L002,READ01,2026-08-05,Quiz,1,16,15,93.8,0
AS00042,L002,READ01,2026-08-26,Practice,1,15,14,93.3,0
AS00043,L003,READ01,2025-10-31,Test,2,13,11,84.6,1
AS00044,L003,READ01,2026-01-14,Practice,1,19,18,94.7,0
AS00045,L003,READ01,2026-01-27,Quiz,1,20,19,95.0,0
AS00046,L003,READ01,2026-01-29,Practice,1,17,16,94.1,0
AS00047,L003,READ01,2026-02-01,Test,1,10,9,90.0,0
AS00048,L003,READ01,2026-05-06,Practice,1,17,15,88.2,0
AS00049,L003,READ01,2026-06-04,Test,2,11,10,90.9,1
AS00050,L003,ELA01,2025-09-05,Quiz,1,11,9,81.8,0
AS00051,L003,ELA01,2025-10-22,Practice,1,16,15,93.8,0
AS00052,L003,ELA01,2025-12-11,Test,1,10,9,90.0,0
AS00053,L003,ELA01,2026-03-01,Practice,1,14,13,92.9,0
AS00054,L003,ELA01,2026-03-25,Practice,1,15,13,86.7,0
AS00055,L003,ELA01,2026-04-09,Practice,1,12,12,100.0,0
AS00056,L003,ELA01,2026-05-10,Test,1,11,10,90.9,0
AS00057,L003,MATH01,2025-09-03,Quiz,1,13,12,92.3,0
AS00058,L003,MATH01,2025-10-27,Practice,1,16,15,93.8,0
AS00059,L003,MATH01,2025-11-11,Quiz,1,10,9,90.0,0
AS00060,L003,MATH01,2025-11-22,Practice,1,17,15,88.2,0
AS00061,L003,MATH01,2025-12-11,Test,1,11,10,90.9,0
AS00062,L003,MATH01,2026-03-01,Test,1,17,16,94.1,0
AS00063,L003,MATH01,2026-03-03,Practice,1,12,11,91.7,0
AS00064,L003,MATH01,2026-04-11,Test,1,18,16,88.9,0
AS00065,L003,MATH01,2026-08-30,Quiz,1,16,15,93.8,0
AS00066,L004,MATH04,2025-09-07,Practice,2,13,10,76.9,1
AS00067,L004,MATH04,2025-11-04,Test,1,16,13,81.2,0
AS00068,L004,MATH04,2025-11-19,Practice,1,10,8,80.0,0
AS00069,L004,MATH04,2026-02-24,Practice,1,14,11,78.6,0
AS00070,L004,MATH04,2026-05-15,Test,1,13,10,76.9,0
AS00071,L004,MATH04,2026-08-17,Practice,1,18,15,83.3,0
AS00072,L004,SCI03,2025-12-11,Quiz,1,17,12,70.6,0
AS00073,L004,SCI03,2026-01-05,Quiz,1,18,14,77.8,0
AS00074,L004,SCI03,2026-01-13,Quiz,1,19,15,78.9,0
AS00075,L004,SCI03,2026-04-08,Practice,2,13,10,76.9,1
AS00076,L004,SCI03,2026-08-08,Quiz,1,10,9,90.0,0
AS00077,L004,SCI03,2026-08-25,Test,1,12,10,83.3,0
AS00078,L004,ELA04,2025-09-27,Quiz,1,20,16,80.0,0
AS00079,L004,ELA04,2025-10-17,Quiz,1,15,12,80.0,0
AS00080,L004,ELA04,2026-02-04,Quiz,1,18,13,72.2,0
AS00081,L004,ELA04,2026-03-14,Practice,2,14,10,71.4,1
AS00082,L004,ELA04,2026-03-28,Test,1,14,11,78.6,0
AS00083,L004,ELA04,2026-05-27,Quiz,2,16,12,75.0,1
AS00084,L004,ELA04,2026-08-25,Quiz,2,12,9,75.0,1
AS00085,L005,READ01,2025-10-22,Practice,1,14,10,71.4,0
AS00086,L005,READ01,2025-12-04,Quiz,1,15,10,66.7,0
AS00087,L005,READ01,2025-12-18,Test,2,20,14,70.0,1
AS00088,L005,READ01,2026-01-22,Test,1,12,9,75.0,0
AS00089,L005,READ01,2026-01-25,Test,1,15,10,66.7,0
AS00090,L005,READ01,2026-04-09,Quiz,1,18,12,66.7,0
AS00091,L005,READ01,2026-04-30,Test,2,20,14,70.0,1
AS00092,L005,READ01,2026-07-08,Quiz,2,16,11,68.8,1
AS00093,L005,SCI01,2025-09-22,Quiz,1,13,9,69.2,0
AS00094,L005,SCI01,2025-11-01,Test,1,11,7,63.6,0
AS00095,L005,SCI01,2025-12-07,Practice,1,15,11,73.3,0
AS00096,L005,SCI01,2026-06-28,Quiz,1,13,9,69.2,0
AS00097,L005,SCI01,2026-07-06,Practice,2,10,7,70.0,1
AS00098,L005,SCI01,2026-07-20,Test,1,18,13,72.2,0
AS00099,L005,SCI01,2026-08-02,Practice,1,15,11,73.3,0
AS00100,L005,MATH01,2025-10-05,Practice,2,10,7,70.0,1
AS00101,L005,MATH01,2026-04-03,Test,2,12,8,66.7,1
AS00102,L005,MATH01,2026-04-12,Test,1,10,7,70.0,0
AS00103,L005,MATH01,2026-05-06,Practice,1,13,10,76.9,0
AS00104,L005,MATH01,2026-05-16,Test,1,17,13,76.5,0
