learner_id,grade_level,enrollment_date,learning_level
L001,5,2025-09-02,Proficient
L002,6,2025-09-16,Proficient
L003,2,2025-09-07,Proficient
L004,6,2025-10-05,Proficient
L005,1,2025-09-28,Developing
L006,K,2025-09-06,Developing
L007,2,2025-10-03,Developing
L008,5,2025-10-06,Developing
L009,2,2025-10-12,Developing
L010,6,2025-09-27,Proficient
L011,2,2025-10-08,Developing
L012,2,2025-09-01,Developing
L013,6,2025-09-11,Developing
L014,6,2025-09-22,Developing
L015,2,2025-09-14,Developing
L016,8,2025-09-22,Developing
L017,1,2025-09-25,Proficient
L018,1,2025-09-23,Developing
L019,5,2025-09-03,Proficient
L020,6,2025-10-05,Developing
L021,1,2025-09-25,Developing
L022,K,2025-09-19,Developing
L023,7,2025-10-10,Developing
L024,8,2025-09-24,Developing
L025,5,2025-10-16,Developing
L026,K,2025-10-13,Proficient
L027,2,2025-09-19,Developing
L028,8,2025-09-15,Proficient
L029,7,2025-09-25,Developing
L030,2,2025-10-11,Proficient
L031,7,2025-09-11,Developing
L032,3,2025-09-14,Developing
L033,6,2025-10-15,Developing
L034,8,2025-10-12,Developing
L035,K,2025-10-11,Developing
L036,1,2025-09-16,Proficient
L037,1,2025-09-25,Developing
L038,2,2025-10-11,Developing
L039,6,2025-09-15,Developing
L040,6,2025-09-04,Developing
L041,2,2025-09-03,Proficient
L042,7,2025-09-26,Beginning
L043,2,2025-09-14,Developing
L044,8,2025-10-07,Developing
L045,7,2025-09-21,Developing
L046,2,2025-10-02,Proficient
L047,3,2025-10-12,Proficient
L048,4,2025-09-17,Proficient
L049,1,2025-10-06,Developing
L050,5,2025-10-08,Beginning
L051,4,2025-10-08,Developing
L052,3,2025-09-15,Developing
L053,8,2025-09-09,Advanced
L054,4,2025-09-06,Proficient
L055,6,2025-09-08,Proficient
L056,1,2025-09-11,Proficient
L057,7,2025-09-28,Developing
L058,5,2025-09-25,Developing
L059,3,2025-09-30,Developing
L060,4,2025-10-06,Proficient
L061,7,2025-09-01,Proficient
L062,6,2025-09-08,Proficient
L063,6,2025-10-05,Proficient
L064,6,2025-10-12,Beginning
L065,3,2025-09-19,Developing
L066,4,2025-09-30,Proficient
L067,K,2025-09-17,Developing
L068,8,2025-09-12,Proficient
L069,4,2025-09-07,Beginning
L070,7,2025-09-20,Proficient
L071,7,2025-10-03,Proficient
L072,5,2025-09-10,Proficient
L073,3,2025-09-11,Developing
L074,5,2025-10-04,Developing
L075,8,2025-10-09,Proficient
L076,3,2025-09-02,Proficient
L077,1,2025-09-24,Developing
L078,7,2025-09-20,Developing
L079,2,2025-09-16,Advanced
L080,7,2025-09-06,Developing
L081,1,2025-10-02,Developing
L082,7,2025-10-05,Proficient
L083,6,2025-09-09,Developing
L084,6,2025-10-06,Proficient
L085,1,2025-10-04,Advanced
L086,7,2025-09-28,Developing
L087,8,2025-10-05,Proficient
L088,6,2025-10-15,Developing
L089,2,2025-09-20,Developing
L090,3,2025-10-13,Beginning
L091,5,2025-09-29,Proficient
L092,8,2025-09-29,Developing
L093,1,2025-09-15,Developing
L094,K,2025-09-02,Developing
L095,5,2025-09-15,Proficient
L096,5,2025-09-01,Beginning
L097,K,2025-10-11,Developing
L098,K,2025-09-05,Developing
L099,8,2025-09-22,Proficient
L100,K,2025-09-16,Proficient
