activity_id,learner_id,course_id,activity_date,lesson_id,session_minutes,activities_completed,participation_rate,completion_percentage
A00001,L001,READ01,2026-08-09,READ01_L08,32,4,66.7,74.0
A00002,L001,READ01,2025-12-19,READ01_L09,37,5,73.2,66.1
A00003,L001,READ01,2025-11-07,READ01_L12,35,3,77.7,90.9
A00004,L001,READ01,2026-06-20,READ01_L10,43,5,79.9,80.2
A00005,L001,READ01,2026-05-01,READ01_L04,34,4,78.8,77.2
A00006,L001,READ01,2026-05-01,READ01_L13,41,3,74.1,99.2
A00007,L001,READ01,2026-03-28,READ01_L04,27,5,65.3,74.8
A00008,L001,READ01,2025-10-19,READ01_L02,42,4,78.3,67.6
A00009,L001,READ01,2026-08-04,READ01_L07,31,5,73.9,72.2
A00010,L001,READ01,2026-03-01,READ01_L07,34,4,66.7,60.0
A00011,L001,READ01,2026-03-30,READ01_L08,38,4,66.8,60.7
A00012,L001,READ01,2025-09-28,READ01_L11,38,2,69.6,52.7
A00013,L001,READ01,2026-08-01,READ01_L11,35,4,67.6,85.3
A00014,L001,READ01,2025-10-21,READ01_L01,35,4,80.2,68.2
A00015,L001,ELA02,2026-02-21,ELA02_L13,34,4,73.2,63.3
A00016,L001,ELA02,2025-10-26,ELA02_L04,49,4,77.5,82.3
A00017,L001,ELA02,2025-12-08,ELA02_L04,33,4,78.9,79.0
A00018,L001,ELA02,2026-06-02,ELA02_L08,30,4,74.1,80.1
A00019,L001,ELA02,2025-11-11,ELA02_L07,44,6,84.9,75.7
A00020,L001,ELA02,2025-12-03,ELA02_L05,38,6,80.3,70.6
A00021,L001,ELA02,2026-04-25,ELA02_L04,32,2,66.6,60.3
A00022,L001,ELA02,2025-10-09,ELA02_L08,38,4,67.3,89.8
A00023,L001,ELA02,2026-06-09,ELA02_L02,32,3,80.9,86.8
A00024,L001,ELA02,2025-09-26,ELA02_L11,51,5,62.8,57.1
A00025,L001,ELA02,2026-06-04,ELA02_L14,47,4,59.6,74.5
A00026,L001,ELA02,2025-09-08,ELA02_L02,32,4,60.6,61.1
A00027,L001,ELA02,2025-12-31,ELA02_L03,41,3,69.7,68.0
A00028,L001,ELA02,2026-03-28,ELA02_L08,41,4,74.3,60.8
A00029,L001,ELA02,2026-05-05,ELA02_L04,47,4,61.1,52.1
A00030,L001,ELA02,2026-03-25,ELA02_L01,37,5,85.8,86.6
A00031,L001,MATH03,2026-03-14,MATH03_L01,51,3,89.8,100.0
A00032,L001,MATH03,2026-03-19,MATH03_L05,47,3,78.5,86.7
A00033,L001,MATH03,2026-04-21,MATH03_L05,22,2,81.8,57.3
A00034,L001,MATH03,2026-04-05,MATH03_L12,42,5,71.2,72.1
A00035,L001,MATH03,2026-06-12,MATH03_L11,25,2,86.4,85.7
A00036,L001,MATH03,2026-05-08,MATH03_L03,36,2,76.4,75.3
A00037,L001,MATH03,2025-12-07,MATH03_L05,42,4,62.9,51.6
A00038,L001,MATH03,2025-12-21,MATH03_L01,28,4,69.2,80.7
A00039,L001,MATH03,2026-06-24,MATH03_L12,41,3,65.5,55.9
A00040,L001,MATH03,2026-06-05,MATH03_L01,28,3,72.5,58.1
A00041,L001,MATH03,2026-02-08,MATH03_L01,37,3,89.1,91.6
A00042,L001,MATH03,2025-09-26,MATH03_L10,35,4,72.4,81.5
A00043,L001,ELA03,2026-05-16,ELA03_L09,32,3,69.1,41.5
A00044,L001,ELA03,2025-11-20,ELA03_L01,47,5,61.2,58.2
A00045,L001,ELA03,2026-05-19,ELA03_L02,39,7,78.0,91.4
A00046,L001,ELA03,2025-12-05,ELA03_L02,29,2,72.3,74.8
A00047,L001,ELA03,2026-07-02,ELA03_L02,25,3,67.3,54.3
A00048,L001,ELA03,2026-08-12,ELA03_L04,44,4,86.8,100.0
A00049,L001,ELA03,2026-03-26,ELA03_L02,30,5,74.0,80.4
A00050,L001,ELA03,2026-06-19,ELA03_L04,35,3,65.0,48.4
A00051,L001,ELA03,2026-06-24,ELA03_L10,52,2,80.8,87.5
A00052,L001,ELA03,2025-09-21,ELA03_L10,33,3,68.1,57.8
A00053,L001,ELA03,2025-10-12,ELA03_L07,30,4,73.7,73.1
A00054,L001,ELA03,2026-08-03,ELA03_L10,29,3,71.4,80.5
A00055,L001,ELA03,2026-06-17,ELA03_L09,29,4,77.3,86.4
A00056,L001,ELA03,2026-02-09,ELA03_L05,41,3,60.0,66.8
A00057,L001,ELA03,2025-12-14,ELA03_L11,22,2,67.2,67.8
A00058,L001,ELA03,2026-02-08,ELA03_L04,29,4,75.4,55.5
A00059,L001,ELA03,2026-01-14,ELA03_L07,27,3,72.8,73.4
A00060,L002,ELA04,2026-08-10,ELA04_L10,33,5,65.3,58.4
A00061,L002,ELA04,2026-04-23,ELA04_L11,27,4,78.9,96.2
A00062,L002,ELA04,2025-10-08,ELA04_L01,30,4,52.4,50.0
A00063,L002,ELA04,2026-04-23,ELA04_L04,31,4,75.2,73.3
A00064,L002,ELA04,2025-10-08,ELA04_L07,38,4,81.5,76.6
A00065,L002,ELA04,2026-05-18,ELA04_L09,33,4,68.3,63.2
A00066,L002,ELA04,2025-11-07,ELA04_L12,53,4,74.5,70.6
A00067,L002,ELA04,2025-10-06,ELA04_L08,33,2,81.8,69.7
A00068,L002,ELA04,2026-03-09,ELA04_L10,33,4,57.2,77.3
A00069,L002,ELA04,2025-11-20,ELA04_L15,34,4,74.8,48.3
A00070,L002,ELA04,2026-06-06,ELA04_L10,42,2,74.1,87.8
A00071,L002,ELA04,2026-07-11,ELA04_L01,33,4,74.9,100.0
A00072,L002,READ01,2026-02-01,READ01_L11,38,3,73.6,63.4
A00073,L002,READ01,2025-10-24,READ01_L03,29,4,78.8,73.1
A00074,L002,READ01,2026-01-14,READ01_L02,39,5,76.0,69.9
A00075,L002,READ01,2025-10-25,READ01_L12,28,3,70.0,74.6
A00076,L002,READ01,2026-06-11,READ01_L03,29,4,78.2,94.5
A00077,L002,READ01,2026-01-18,READ01_L05,51,3,75.5,60.6
A00078,L002,READ01,2026-07-07,READ01_L04,48,4,58.0,57.3
A00079,L002,READ01,2026-02-23,READ01_L04,27,6,74.4,76.0
A00080,L002,READ01,2026-08-18,READ01_L11,42,4,73.1,75.8
A00081,L002,READ01,2026-01-14,READ01_L09,40,5,65.9,82.0
A00082,L002,READ01,2026-05-09,READ01_L05,32,3,84.9,83.4
A00083,L002,READ01,2025-09-27,READ01_L02,45,2,72.6,91.0
A00084,L002,READ01,2026-07-22,READ01_L07,33,3,70.9,51.1
A00085,L002,READ01,2026-01-20,READ01_L01,37,2,78.8,63.2
A00086,L002,READ01,2025-09-02,READ01_L06,50,3,69.5,51.5
A00087,L002,READ01,2025-11-06,READ01_L11,34,1,70.2,69.6
A00088,L002,READ01,2026-01-13,READ01_L03,42,5,70.3,83.9
A00089,L002,READ01,2026-04-15,READ01_L09,27,6,70.0,70.7
A00090,L002,SCI03,2026-06-15,SCI03_L01,36,4,72.3,70.6
A00091,L002,SCI03,2025-10-28,SCI03_L02,32,4,67.6,61.1
A00092,L002,SCI03,2026-08-20,SCI03_L15,37,3,66.5,84.5
A00093,L002,SCI03,2025-11-16,SCI03_L09,45,5,51.0,26.1
A00094,L002,SCI03,2025-09-19,SCI03_L14,33,2,69.4,60.1
A00095,L002,SCI03,2026-03-09,SCI03_L10,50,5,63.3,78.6
A00096,L002,SCI03,2026-06-10,SCI03_L03,27,3,78.0,83.8
A00097,L002,SCI03,2026-04-09,SCI03_L03,42,3,62.4,57.9
A00098,L002,SCI03,2025-09-22,SCI03_L05,40,3,77.9,91.8
A00099,L002,SCI03,2026-03-06,SCI03_L15,41,4,63.5,59.8
A00100,L002,SCI03,2025-09-21,SCI03_L15,26,5,74.8,72.6
A00101,L002,SCI03,2026-03-03,SCI03_L04,45,3,68.0,51.1
A00102,L002,SCI03,2026-08-16,SCI03_L04,41,2,59.7,80.8
A00103,L002,SCI03,2026-08-08,SCI03_L02,50,4,55.5,54.4
A00104,L002,SCI03,2026-03-01,SCI03_L13,39,4,67.8,81.1
A00105,L002,SCI03,2026-06-14,SCI03_L15,37,3,73.1,72.4
A00106,L002,MATH04,2026-07-15,MATH04_L05,22,2,74.7,83.6
A00107,L002,MATH04,2025-12-31,MATH04_L06,35,4,73.6,77.7
A00108,L002,MATH04,2025-11-30,MATH04_L14,30,4,67.9,56.1
A00109,L002,MATH04,2025-09-13,MATH04_L06,23,5,75.5,81.1
A00110,L002,MATH04,2026-02-18,MATH04_L14,44,5,74.2,86.4
A00111,L002,MATH04,2026-08-09,MATH04_L08,26,3,57.5,57.8
A00112,L002,MATH04,2026-01-15,MATH04_L06,30,4,76.3,67.3
A00113,L002,MATH04,2026-08-26,MATH04_L04,25,3,67.3,51.1
A00114,L002,MATH04,2026-03-15,MATH04_L02,45,3,64.4,96.0
A00115,L002,MATH04,2026-04-29,MATH04_L08,38,3,76.1,84.5
A00116,L002,MATH04,2025-12-12,MATH04_L15,37,6,67.6,66.4
A00117,L002,MATH04,2026-02-27,MATH04_L10,31,4,81.4,100.0
A00118,L002,MATH04,2025-12-26,MATH04_L08,51,4,67.2,60.4
A00119,L002,MATH04,2025-09-13,MATH04_L07,44,4,77.2,58.4
A00120,L002,MATH04,2026-03-24,MATH04_L11,34,4,66.4,73.8
A00121,L002,MATH04,2026-01-21,MATH04_L03,25,4,73.6,80.9
A00122,L003,READ01,2026-02-27,READ01_L11,48,5,88.7,94.2
A00123,L003,READ01,2026-05-19,READ01_L07,26,5,83.6,86.1
A00124,L003,READ01,2026-08-14,READ01_L14,30,3,86.4,99.0
A00125,L003,READ01,2026-06-02,READ01_L06,45,4,83.9,84.2
A00126,L003,READ01,2025-09-15,READ01_L02,36,4,91.7,86.2
A00127,L003,READ01,2026-01-12,READ01_L03,37,4,80.7,75.0
A00128,L003,READ01,2026-06-25,READ01_L05,33,4,94.3,89.0
