progress_id,learner_id,course_id,progress_date,starting_score,current_score,score_change,completion_percentage,progress_status,badge_earned,recognition_tag
P00001,L001,ELA02,2025-10-10,81.2,81.2,0.0,25.7,Stable,Learning Milestone,Learning Progress
P00002,L001,ELA02,2025-11-03,81.2,78.6,-2.6,41.0,Stable,Learning Milestone,Learning Progress
P00003,L001,ELA02,2026-05-31,81.2,76.9,-4.3,76.1,Stable,Learning Milestone,Learning Progress
P00004,L001,ELA02,2026-08-17,81.2,85.7,4.5,100.0,Stable,Course Completion,Successful Completion
P00005,L001,MATH03,2026-01-23,78.6,78.6,0.0,55.3,Stable,Learning Milestone,Learning Progress
P00006,L001,MATH03,2026-02-26,78.6,83.3,4.7,61.8,Stable,Learning Milestone,Learning Progress
P00007,L001,MATH03,2026-06-10,78.6,85.0,6.4,87.8,Improving,Learning Milestone,Learning Progress
P00008,L001,MATH03,2026-08-25,78.6,88.2,9.6,100.0,Improving,Course Completion,Successful Completion
P00009,L001,READ01,2025-10-13,75.0,75.0,0.0,35.4,Stable,Learning Milestone,Learning Progress
P00010,L001,READ01,2026-03-24,75.0,75.0,0.0,66.8,Stable,Learning Milestone,Learning Progress
P00011,L001,READ01,2026-04-22,75.0,78.9,3.9,75.5,Stable,Learning Milestone,Learning Progress
P00012,L001,READ01,2026-08-22,75.0,81.2,6.2,100.0,Improving,Course Completion,Successful Completion
P00013,L002,ELA04,2025-10-15,95.0,95.0,0.0,34.6,Stable,Learning Milestone,Learning Progress
P00014,L002,ELA04,2025-12-27,95.0,94.7,-0.3,52.2,Stable,Learning Milestone,Learning Progress
P00015,L002,ELA04,2026-02-08,95.0,90.0,-5.0,63.8,Needs Attention,Learning Milestone,Learning Progress
P00016,L002,ELA04,2026-07-23,95.0,81.8,-13.2,100.0,Needs Attention,Course Completion,Successful Completion
P00017,L002,READ01,2025-09-04,83.3,83.3,0.0,24.1,Stable,Learning Milestone,Learning Progress
P00018,L002,READ01,2026-02-24,83.3,90.0,6.7,65.4,Improving,Learning Milestone,Learning Progress
P00019,L002,READ01,2026-06-01,83.3,91.7,8.4,82.2,Improving,Learning Milestone,Learning Progress
P00020,L002,READ01,2026-08-26,83.3,93.3,10.0,100.0,Improving,Progress Star,Great Improvement
P00021,L002,SCI03,2025-11-04,81.2,81.2,0.0,40.5,Stable,Learning Milestone,Learning Progress
P00022,L002,SCI03,2025-11-13,81.2,90.0,8.8,41.1,Improving,Learning Milestone,Learning Progress
P00023,L002,SCI03,2026-05-21,81.2,90.0,8.8,80.7,Improving,Learning Milestone,Learning Progress
P00024,L002,SCI03,2026-08-18,81.2,94.1,12.9,100.0,Improving,Progress Star,Great Improvement
P00025,L003,ELA01,2025-09-05,81.8,81.8,0.0,27.0,Stable,Learning Milestone,Learning Progress
P00026,L003,ELA01,2025-12-11,81.8,90.0,8.2,45.2,Improving,Learning Milestone,Learning Progress
P00027,L003,ELA01,2026-03-25,81.8,86.7,4.9,66.2,Stable,Learning Milestone,Learning Progress
P00028,L003,ELA01,2026-05-10,81.8,90.9,9.1,100.0,Improving,Course Completion,Successful Completion
P00029,L003,MATH01,2025-09-03,92.3,92.3,0.0,27.3,Stable,Learning Milestone,Learning Progress
P00030,L003,MATH01,2025-11-11,92.3,90.0,-2.3,37.3,Stable,Learning Milestone,Learning Progress
P00031,L003,MATH01,2026-03-01,92.3,94.1,1.8,61.2,Stable,Learning Milestone,Learning Progress
P00032,L003,MATH01,2026-08-30,92.3,93.8,1.5,100.0,Stable,Course Completion,Successful Completion
P00033,L003,READ01,2025-10-31,84.6,84.6,0.0,34.4,Stable,Learning Milestone,Learning Progress
P00034,L003,READ01,2026-01-27,84.6,95.0,10.4,49.6,Improving,Growth Champion,Strong Progress
P00035,L003,READ01,2026-02-01,84.6,90.0,5.4,50.9,Improving,Learning Milestone,Learning Progress
P00036,L003,READ01,2026-06-04,84.6,90.9,6.3,100.0,Improving,Course Completion,Successful Completion
P00037,L004,ELA04,2025-09-27,80.0,80.0,0.0,25.2,Stable,Learning Milestone,Learning Progress
P00038,L004,ELA04,2026-02-04,80.0,72.2,-7.8,52.4,Needs Attention,Learning Milestone,Learning Progress
P00039,L004,ELA04,2026-03-28,80.0,78.6,-1.4,73.4,Stable,Learning Milestone,Learning Progress
P00040,L004,ELA04,2026-08-25,80.0,75.0,-5.0,100.0,Needs Attention,Course Completion,Successful Completion
P00041,L004,MATH04,2025-09-07,76.9,76.9,0.0,24.8,Stable,Learning Milestone,Learning Progress
P00042,L004,MATH04,2025-11-04,76.9,81.2,4.3,32.4,Stable,Learning Milestone,Learning Progress
P00043,L004,MATH04,2026-02-24,76.9,78.6,1.7,60.7,Stable,Learning Milestone,Learning Progress
P00044,L004,MATH04,2026-08-17,76.9,83.3,6.4,100.0,Improving,Course Completion,Successful Completion
P00045,L004,SCI03,2025-12-11,70.6,70.6,0.0,44.3,Stable,Learning Milestone,Learning Progress
P00046,L004,SCI03,2026-01-05,70.6,77.8,7.2,59.2,Improving,Learning Milestone,Learning Progress
P00047,L004,SCI03,2026-04-08,70.6,76.9,6.3,72.8,Improving,Learning Milestone,Learning Progress
P00048,L004,SCI03,2026-08-25,70.6,83.3,12.7,100.0,Improving,Progress Star,Great Improvement
P00049,L005,MATH01,2025-10-05,70.0,70.0,0.0,34.8,Stable,Learning Milestone,Learning Progress
P00050,L005,MATH01,2026-04-03,70.0,66.7,-3.3,67.0,Stable,Learning Milestone,Learning Progress
P00051,L005,MATH01,2026-05-06,70.0,76.9,6.9,72.7,Improving,Learning Milestone,Learning Progress
P00052,L005,MATH01,2026-05-27,70.0,81.8,11.8,100.0,Improving,Progress Star,Great Improvement
P00053,L005,READ01,2025-10-22,71.4,71.4,0.0,30.9,Stable,Learning Milestone,Learning Progress
P00054,L005,READ01,2025-12-18,71.4,70.0,-1.4,45.8,Stable,Learning Milestone,Learning Progress
P00055,L005,READ01,2026-01-25,71.4,66.7,-4.7,56.3,Stable,Learning Milestone,Learning Progress
P00056,L005,READ01,2026-07-08,71.4,68.8,-2.6,100.0,Stable,Course Completion,Successful Completion
P00057,L005,SCI01,2025-09-22,69.2,69.2,0.0,31.9,Stable,Learning Milestone,Learning Progress
P00058,L005,SCI01,2025-12-07,69.2,73.3,4.1,43.8,Stable,Learning Milestone,Learning Progress
P00059,L005,SCI01,2026-07-06,69.2,70.0,0.8,91.1,Stable,Learning Milestone,Learning Progress
P00060,L005,SCI01,2026-08-02,69.2,73.3,4.1,100.0,Stable,Course Completion,Successful Completion
P00061,L006,ELA01,2025-09-01,68.4,68.4,0.0,24.0,Stable,Learning Milestone,Learning Progress
P00062,L006,ELA01,2025-12-17,68.4,64.3,-4.1,53.9,Stable,Learning Milestone,Learning Progress
P00063,L006,ELA01,2026-06-01,68.4,70.0,1.6,78.6,Stable,Learning Milestone,Learning Progress
P00064,L006,ELA01,2026-07-30,68.4,75.0,6.6,100.0,Improving,Course Completion,Successful Completion
P00065,L006,MATH01,2025-09-02,63.2,63.2,0.0,29.9,Stable,Learning Milestone,Learning Progress
P00066,L006,MATH01,2025-12-04,63.2,58.8,-4.4,51.5,Stable,Learning Milestone,Learning Progress
P00067,L006,MATH01,2026-03-19,63.2,63.6,0.4,66.7,Stable,Learning Milestone,Learning Progress
P00068,L006,MATH01,2026-07-08,63.2,66.7,3.5,100.0,Stable,Course Completion,Successful Completion
P00069,L006,SCI01,2026-01-10,63.2,63.2,0.0,60.3,Stable,Learning Milestone,Learning Progress
P00070,L006,SCI01,2026-03-15,63.2,69.2,6.0,63.8,Improving,Learning Milestone,Learning Progress
P00071,L006,SCI01,2026-07-22,63.2,66.7,3.5,88.5,Stable,Learning Milestone,Learning Progress
P00072,L006,SCI01,2026-08-19,63.2,63.6,0.4,100.0,Stable,Course Completion,Successful Completion
P00073,L007,ELA01,2025-11-30,60.0,60.0,0.0,39.6,Stable,Learning Milestone,Learning Progress
P00074,L007,ELA01,2025-12-06,60.0,63.6,3.6,46.9,Stable,Learning Milestone,Learning Progress
P00075,L007,ELA01,2026-05-10,60.0,75.0,15.0,74.3,Improving,Growth Champion,Strong Progress
P00076,L007,ELA01,2026-07-29,60.0,68.4,8.4,100.0,Improving,Course Completion,Successful Completion
P00077,L007,MATH01,2025-09-29,60.0,60.0,0.0,34.6,Stable,Learning Milestone,Learning Progress
P00078,L007,MATH01,2026-01-15,60.0,68.8,8.8,55.5,Improving,Learning Milestone,Learning Progress
P00079,L007,MATH01,2026-06-06,60.0,75.0,15.0,82.3,Improving,Growth Champion,Strong Progress
P00080,L007,MATH01,2026-08-21,60.0,68.8,8.8,100.0,Improving,Course Completion,Successful Completion
P00081,L007,READ01,2025-09-07,63.6,63.6,0.0,26.3,Stable,Learning Milestone,Learning Progress
P00082,L007,READ01,2025-09-23,63.6,57.9,-5.7,27.8,Needs Attention,Learning Milestone,Learning Progress
P00083,L007,READ01,2025-11-07,63.6,54.5,-9.1,38.8,Needs Attention,Learning Milestone,Learning Progress
P00084,L007,READ01,2026-07-27,63.6,64.3,0.7,100.0,Stable,Course Completion,Successful Completion
P00085,L008,ELA02,2025-10-24,72.7,72.7,0.0,35.4,Stable,Learning Milestone,Learning Progress
P00086,L008,ELA02,2026-01-17,72.7,68.8,-3.9,55.1,Stable,Learning Milestone,Learning Progress
P00087,L008,ELA02,2026-03-08,72.7,71.4,-1.3,60.4,Stable,Learning Milestone,Learning Progress
P00088,L008,ELA02,2026-08-31,72.7,76.5,3.8,100.0,Stable,Course Completion,Successful Completion
P00089,L008,MATH02,2025-11-10,77.8,77.8,0.0,36.5,Stable,Learning Milestone,Learning Progress
P00090,L008,MATH02,2026-03-16,77.8,68.8,-9.0,63.1,Needs Attention,Learning Milestone,Learning Progress
P00091,L008,MATH02,2026-05-13,77.8,73.3,-4.5,82.5,Stable,Learning Milestone,Learning Progress
P00092,L008,MATH02,2026-08-01,77.8,80.0,2.2,100.0,Stable,Course Completion,Successful Completion
P00093,L008,READ01,2025-10-23,73.3,73.3,0.0,31.4,Stable,Learning Milestone,Learning Progress
P00094,L008,READ01,2025-10-27,73.3,63.6,-9.7,38.3,Needs Attention,Learning Milestone,Learning Progress
P00095,L008,READ01,2025-12-24,73.3,68.8,-4.5,46.9,Stable,Learning Milestone,Learning Progress
P00096,L008,READ01,2026-05-10,73.3,75.0,1.7,100.0,Stable,Course Completion,Successful Completion
P00097,L009,ELA01,2025-10-18,66.7,66.7,0.0,28.7,Stable,Learning Milestone,Learning Progress
P00098,L009,ELA01,2025-12-26,66.7,75.0,8.3,52.8,Improving,Learning Milestone,Learning Progress
P00099,L009,ELA01,2026-03-13,66.7,70.6,3.9,59.3,Stable,Learning Milestone,Learning Progress
P00100,L009,ELA01,2026-08-30,66.7,70.0,3.3,100.0,Stable,Course Completion,Successful Completion
P00101,L009,READ01,2025-11-11,68.8,68.8,0.0,35.8,Stable,Learning Milestone,Learning Progress
P00102,L009,READ01,2026-02-01,68.8,63.6,-5.2,59.6,Needs Attention,Learning Milestone,Learning Progress
P00103,L009,READ01,2026-04-29,68.8,66.7,-2.1,73.1,Stable,Learning Milestone,Learning Progress
